2020-10-28 15:31:16,836 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = miss/falsealarm
2020-10-28 15:33:29,706 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = hit/miss
2020-10-28 15:33:34,158 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = miss/correctreject
2020-10-28 15:33:34,158 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = miss/falsealarm
2020-10-28 15:33:53,564 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = hit/miss
2020-10-28 15:33:58,186 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = miss/correctreject
2020-10-28 15:33:58,186 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = miss/falsealarm
2020-10-28 15:34:36,521 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = hit/miss
2020-10-28 15:34:41,145 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = miss/correctreject
2020-10-28 15:34:41,145 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = miss/falsealarm
2020-10-28 15:34:58,894 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = hit/miss
2020-10-28 15:35:05,188 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = miss/correctreject
2020-10-28 15:35:05,189 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = miss/falsealarm
2020-10-28 15:36:19,899 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = hit/miss
2020-10-28 15:36:24,667 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = miss/correctreject
2020-10-28 15:36:24,667 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 1e-06, task = miss/falsealarm
2020-10-28 15:37:05,018 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = hit/miss
2020-10-28 15:37:10,121 : INFO : __main__ : no samples found, name = ken_2016-08-18, seed = 1, C = 0.0001, task = miss/correctreject
